GOterm,term,Pvalue,NoGOsize,cluster,entrez
497,GO:1901988,negative regulation of cell cycle phase transition,1.52e-08,33;155,C_2_GSE62232,4085;7175;5111;5347;983;2146;890;324;701;6790;10403;51512;7272;1869;995;641;5371;1063;581;5591;6597;2810;699;835;4193;55215;6659;891;79791;1820;144455;7756;1030
498,GO:0006333,chromatin assembly or disassembly,1.79e-08,33;156,C_2_GSE62232,57082;91687;7175;6599;4171;10036;8208;1058;3159;55320;1029;2491;8365;54145;6597;3148;8339;11339;1616;55355;79019;64754;79682;55166;55839;3070;64105;79172;387103;81611;64946;11198;8353
499,GO:0034728,nucleosome organization,1.87e-08,31;141,C_2_GSE62232,57082;91687;6599;4171;10036;8208;1058;3159;55320;2491;8365;54145;6597;3148;8339;11339;1616;55355;79019;64754;79682;55166;55839;64105;79172;387103;81611;64946;11198;8353;50511
500,GO:0033554,cellular response to stress,1.87e-08,182;1699,C_2_GSE62232,5439;3656;261726;4000;57654;64393;5911;7175;3326;1495;91875;9448;8996;80317;6696;4077;10397;5792;8682;6745;3150;5111;4831;7153;1728;6464;10212;3654;3315;1857;23636;5585;5347;2539;10277;10919;9768;5580;2305;5440;10535;2185;983;2146;890;4358;324;9232;9820;2189;22876;578;10036;11015;5984;9319;6790;10635;51512;7186;5287;8317;3627;6781;9156;4521;2237;8208;7060;9833;5883;5871;1869;5888;995;580;1111;641;3159;7168;5371;6498;5163;2281;1029;10130;8365;675;581;5591;10211;3148;3992;7468;2629;8644;2810;4436;947;5058;835;4439;5893;54499;6788;9175;4763;3077;84296;4193;23236;4288;51588;56950;57007;55215;23503;6714;4862;6659;5985;23244;1200;891;23279;1616;8086;56886;50485;51514;23753;55872;55247;57332;1894;55010;64127;79915;2178;55388;51659;58528;2966;2122;79726;79791;29927;10762;1788;63979;51726;29089;84219;84057;84515;81502;113130;29920;29128;57521;83695;286257;10189;116028;286053;56897;5563;56647;1820;144455;54431;84464;79155;1663;7329;55746;11198;55719;56852;5467;2932;2177
501,GO:0008608,attachment of spindle microtubules to kinetochore,1.89e-08,13;28,C_2_GSE62232,57082;10615;324;10403;4751;1062;11004;9212;891;79980;1894;29127;7756
502,GO:0045787,positive regulation of cell cycle,2.57e-08,51;310,C_2_GSE62232,4085;7175;10397;894;5111;3054;11065;983;5469;9787;990;6790;10403;1164;51512;8317;9493;10733;1869;8851;995;9928;5371;675;581;2810;9212;835;2191;5914;4193;23236;6714;6659;891;23326;51203;1894;79733;81669;29127;84440;113130;81610;83695;286053;134353;1820;144455;55719;5962
503,GO:0033045,regulation of sister chromatid segregation,2.97e-08,19;61,C_2_GSE62232,4085;7175;5347;11065;324;701;9787;990;10403;7272;1062;1063;699;891;10460;113130;286053;7756;55719
504,GO:0030071,regulation of mitotic metaphase/anaphase transition,3.09e-08,16;44,C_2_GSE62232,4085;7175;5347;11065;324;701;9787;990;10403;7272;1062;1063;699;891;286053;7756
505,GO:0010948,negative regulation of cell cycle process,3.09e-08,40;216,C_2_GSE62232,4085;7175;5111;5347;983;2146;890;324;701;6790;10403;51512;7272;899;1869;995;1111;641;5371;1063;581;5591;6597;2810;4436;9212;699;835;4193;55215;6659;891;79733;55755;79791;1820;144455;7756;1030;286151
506,GO:1901987,regulation of cell cycle phase transition,3.55e-08,51;313,C_2_GSE62232,54443;4085;7175;5710;894;5111;5347;991;11065;983;2146;890;324;701;9787;990;6790;10403;51512;8317;7272;1869;1062;995;641;9735;9928;5371;1063;581;5591;6597;2810;699;835;4193;23236;55215;6659;891;5683;79791;113130;81610;286053;134353;1820;144455;7756;1030;5962
507,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,4.47e-08,16;45,C_2_GSE62232,4085;7175;5347;11065;324;701;9787;990;10403;7272;1062;1063;699;891;286053;7756
508,GO:0006325,chromatin organization,4.72e-08,90;698,C_2_GSE62232,57082;91687;7175;51317;23512;3183;3015;3150;6599;1786;4171;5585;10919;3054;5580;4017;9869;983;2146;10036;6790;10626;8208;4602;1058;1111;10499;7349;3159;55320;8284;8535;26013;1029;2491;8365;675;54145;6597;3148;7468;9212;7404;8339;4288;56950;23314;11339;3013;891;9736;8334;1616;23326;55355;79019;29028;64754;79682;55166;54496;55839;57332;3070;55766;51176;2122;1788;64105;28989;55677;29128;79172;84733;387103;26147;79885;5563;81611;64946;23338;55746;11198;64324;8353;80349;50511;10902;25862;8861
509,GO:0006336,DNA replication-independent nucleosome assembly,6.40e-08,16;46,C_2_GSE62232,57082;91687;1058;55320;2491;8365;11339;55355;79019;79682;55166;55839;64105;79172;387103;64946
510,GO:0034724,DNA replication-independent nucleosome organization,6.40e-08,16;46,C_2_GSE62232,57082;91687;1058;55320;2491;8365;11339;55355;79019;79682;55166;55839;64105;79172;387103;64946
511,GO:0000281,mitotic cytokinesis,1.33e-07,13;32,C_2_GSE62232,54443;3925;5347;324;9820;9493;1058;51203;26586;24137;55165;10112;29127
512,GO:0045786,negative regulation of cell cycle,1.35e-07,63;440,C_2_GSE62232,3664;4085;1033;7175;5111;7153;5347;2305;7159;983;2146;890;324;701;54475;11130;6790;1031;10403;1020;51512;7272;899;5883;1869;8851;995;580;1111;641;10669;9735;5371;6498;1029;1063;581;5591;6597;2810;4436;9212;699;835;2191;4193;55215;6659;891;51053;79733;55755;58528;79791;57521;7976;5563;1820;144455;7756;220042;1030;286151
513,GO:0033044,regulation of chromosome organization,1.43e-07,28;130,C_2_GSE62232,4085;7175;3183;7203;5347;11065;324;701;9787;990;10403;4751;7272;1062;5371;1063;9212;699;6714;891;1736;3192;10460;113130;286053;7756;84464;55719
514,GO:0006334,nucleosome assembly,1.43e-07,26;115,C_2_GSE62232,57082;91687;4171;10036;8208;1058;55320;2491;8365;54145;3148;8339;11339;1616;55355;79019;64754;79682;55166;55839;64105;79172;387103;81611;64946;8353
515,GO:0031570,DNA integrity checkpoint,2.50e-07,31;157,C_2_GSE62232,261726;8682;5111;7153;5347;983;890;990;6790;51512;5883;1869;995;1111;641;5371;581;5591;2810;4436;835;81620;4193;55215;6659;891;51514;79791;83695;1820;144455
516,GO:0071173,spindle assembly checkpoint,3.20e-07,12;29,C_2_GSE62232,57082;4085;7175;5347;324;701;10403;7272;1063;699;891;7756
517,GO:0061640,cytoskeleton-dependent cytokinesis,3.92e-07,14;40,C_2_GSE62232,54443;3925;5347;324;9820;9493;1058;9212;51203;26586;24137;55165;10112;29127
518,GO:0006281,DNA repair,4.21e-07,67;494,C_2_GSE62232,5439;57654;91875;3150;5111;9768;2305;5440;10535;983;9232;2189;10036;5984;9319;10635;8317;9156;4521;2237;8208;5883;5888;580;1111;641;5371;8365;675;5591;3148;7468;4436;4439;5893;84296;51588;55215;23503;4862;5985;23244;51514;55247;57332;55010;2178;51659;2966;63979;29089;84057;84515;113130;29128;83695;286257;116028;286053;56897;56647;84464;7329;11198;55719;56852;2177
519,GO:0010639,negative regulation of organelle organization,4.70e-07,42;256,C_2_GSE62232,11078;85477;4000;4085;7175;8996;3183;2934;3925;822;5347;2764;5580;10300;324;701;10403;24139;4751;7272;899;2258;1111;1063;23075;4436;699;253725;6714;5756;891;3192;26586;55755;84079;51256;29767;7756;6904;85358;286151;5962
520,GO:0070507,regulation of microtubule cytoskeleton organization,7.19e-07,24;109,C_2_GSE62232,7175;3925;5347;10300;324;4137;6790;24139;3832;4751;899;10733;8851;2258;6491;1111;22994;220134;26586;55755;81930;221150;64793;6904
521,GO:0044774,mitotic DNA integrity checkpoint,7.82e-07,23;102,C_2_GSE62232,5111;7153;983;890;6790;51512;5883;1869;995;641;5371;581;5591;2810;4436;835;4193;55215;6659;891;79791;1820;144455
522,GO:0006338,chromatin remodeling,9.56e-07,29;150,C_2_GSE62232,57082;91687;7175;3183;6599;4602;1058;1111;3159;55320;1029;2491;8365;6597;23314;11339;1616;55355;79019;79682;55166;55839;3070;64105;79172;387103;81611;64946;50511
523,GO:0044773,mitotic DNA damage checkpoint,1.01e-06,22;96,C_2_GSE62232,5111;983;890;6790;51512;5883;1869;995;641;5371;581;5591;2810;4436;835;4193;55215;6659;891;79791;1820;144455
524,GO:0006310,DNA recombination,1.11e-06,40;246,C_2_GSE62232,5558;3838;5111;7153;3149;5984;9319;10635;8317;9156;2237;79703;5888;5557;580;1111;641;675;5591;3148;7468;23075;4436;4439;5893;84296;23503;5985;55010;51659;51176;958;63979;84057;84515;83695;10189;116028;286053;84464
525,GO:0000910,cytokinesis,1.30e-06,26;128,C_2_GSE62232,54443;23157;3925;5347;324;9820;990;6790;9493;1058;9928;675;9212;23503;9055;51203;26586;24137;55165;10112;1894;79733;29127;84440;144455;989
526,GO:0071824,protein-DNA complex subunit organization,1.70e-06,37;223,C_2_GSE62232,57082;91687;6599;4171;10036;8208;1058;5888;1062;3159;55320;2491;1063;8365;54145;6597;3148;8339;5893;11339;1616;55355;79019;64754;79682;55166;55839;3070;2966;64105;79172;387103;81611;64946;11198;8353;50511
527,GO:0006271,DNA strand elongation involved in DNA replication,1.82e-06,10;23,C_2_GSE62232,5558;5111;10535;5984;2237;5557;9837;84296;51659;64785
528,GO:0051321,meiotic cell cycle,1.84e-06,35;206,C_2_GSE62232,192670;7153;10051;7283;9918;5347;991;9232;9319;10609;6790;1164;10592;9156;4751;79703;5888;675;26255;4436;4439;23236;4288;4926;79980;259266;81930;11022;84057;89765;151246;84464;286151;50511;2177
529,GO:0007094,mitotic spindle assembly checkpoint,1.86e-06,11;28,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
530,GO:1903046,meiotic cell cycle process,1.98e-06,31;172,C_2_GSE62232,192670;7153;10051;7283;9918;5347;991;9232;9319;10609;6790;1164;10592;79703;5888;675;26255;4436;4439;23236;4288;79980;259266;81930;11022;84057;151246;84464;286151;50511;2177
531,GO:0072331,signal transduction by p53 class mediator,2.07e-06,40;252,C_2_GSE62232,64393;91875;10397;5111;10919;2305;7159;983;5984;6790;1020;51512;9156;5883;1869;8851;995;580;1111;641;5371;26013;675;581;2810;4436;9212;835;22974;4193;56950;6659;5985;891;83695;116028;5563;1820;144455;11198
532,GO:0000077,DNA damage checkpoint,2.29e-06,28;148,C_2_GSE62232,261726;8682;5111;5347;983;890;6790;51512;5883;1869;995;1111;641;5371;581;5591;2810;4436;835;4193;55215;6659;891;51514;79791;83695;1820;144455
533,GO:0032886,regulation of microtubule-based process,2.39e-06,26;132,C_2_GSE62232,7175;3925;5347;10300;324;4137;6790;24139;3832;4751;899;10733;8851;2258;6491;1111;3916;22994;220134;26586;55755;81930;221150;64793;6904;2932
534,GO:2000045,regulation of G1/S transition of mitotic cell cycle,2.39e-06,26;132,C_2_GSE62232,894;5111;983;2146;990;6790;51512;1869;995;9928;5371;581;5591;6597;2810;835;4193;23236;6659;891;79791;134353;1820;144455;1030;5962
535,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,2.53e-06,19;79,C_2_GSE62232,1033;993;894;5347;890;324;990;1031;1164;8851;9134;995;641;1029;2810;6714;81669;56647;1030
536,GO:1904029,regulation of cyclin-dependent protein kinase activity,3.09e-06,19;80,C_2_GSE62232,1033;993;894;5347;890;324;990;1031;1164;8851;9134;995;641;1029;2810;6714;81669;56647;1030
537,GO:0051054,positive regulation of DNA metabolic process,3.12e-06,33;193,C_2_GSE62232,7203;5111;7153;6464;1786;5580;2305;2185;9869;983;5984;8317;4751;5888;5154;7349;5371;4931;581;7468;9212;6714;4862;5985;1736;79075;57332;50507;79733;958;144455;84464;55719
538,GO:1902806,regulation of cell cycle G1/S phase transition,3.13e-06,27;142,C_2_GSE62232,894;5111;983;2146;990;6790;51512;1869;995;9928;5371;581;5591;6597;2810;835;4193;23236;6659;891;79791;81610;134353;1820;144455;1030;5962
539,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,4.14e-06,11;30,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
540,GO:0071174,mitotic spindle checkpoint,4.14e-06,11;30,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
541,GO:2000816,negative regulation of mitotic sister chromatid separation,4.14e-06,11;30,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
542,GO:0071822,protein complex subunit organization,4.14e-06,159;1563,C_2_GSE62232,11078;85477;54443;57082;91687;7083;54919;10092;7175;1495;8996;25939;4077;5286;4478;2934;3915;3925;2058;6281;5710;7203;226;6599;4831;3654;302;8733;10051;9231;7283;822;6241;1857;10095;4171;7450;23636;4905;1278;3054;2764;5580;27338;11065;4017;2185;2744;10300;8898;983;7088;324;9057;4320;4137;10036;6901;4199;607;8936;10592;24139;7186;5082;9829;8208;1058;5888;1062;535;2258;641;7053;3159;9735;9928;55320;5371;2491;871;1063;8365;581;54145;10211;375;6597;3148;3308;2629;23075;11004;6183;8339;253725;4763;3077;4193;6714;6843;11339;5756;891;9659;1616;26586;51053;64780;55355;79019;64754;79682;80304;55166;55839;1894;64127;81930;56288;84079;2966;51176;146909;10938;958;55245;64105;91574;84708;51199;81502;92799;80146;57674;79172;29767;29091;387103;7756;81611;6904;23545;10093;64946;285590;90639;55746;30844;11198;55719;8353;4087;84105;50511;2932;9617;989;5962
543,GO:0072431,signal transduction involved in mitotic G1 DNA damage checkpoint,4.65e-06,16;61,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
544,GO:1902400,intracellular signal transduction involved in G1 DNA damage checkpoint,4.65e-06,16;61,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
545,GO:0051493,regulation of cytoskeleton organization,4.75e-06,54;396,C_2_GSE62232,11078;85477;10092;7175;2934;3925;6281;822;10095;5347;2764;5580;2185;10300;324;55558;4137;6790;8936;1020;3984;24139;3832;4751;899;10733;8851;2258;6491;1111;5154;7168;27;824;375;23075;5058;253725;23433;5756;22994;220134;26586;55704;50507;55755;81930;29767;221150;64793;6904;85358;10093;5962
546,GO:0072413,signal transduction involved in mitotic cell cycle checkpoint,5.85e-06,16;62,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
547,GO:1902402,signal transduction involved in mitotic DNA damage checkpoint,5.85e-06,16;62,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
548,GO:1902403,signal transduction involved in mitotic DNA integrity checkpoint,5.85e-06,16;62,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
549,GO:0031571,mitotic G1 DNA damage checkpoint,5.96e-06,17;69,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;79791;1820;144455
550,GO:0044819,mitotic G1/S transition checkpoint,5.96e-06,17;69,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;79791;1820;144455
551,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,6.00e-06,11;31,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
552,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,6.14e-06,20;91,C_2_GSE62232,5111;983;2146;6790;51512;1869;995;5371;581;5591;6597;2810;835;4193;6659;891;79791;1820;144455;1030
553,GO:0007126,meiotic nuclear division,6.19e-06,29;164,C_2_GSE62232,192670;7153;10051;5347;991;9232;9319;10609;6790;1164;10592;79703;5888;675;26255;4436;4439;23236;4288;79980;259266;81930;11022;84057;151246;84464;286151;50511;2177
554,GO:0007051,spindle organization,6.56e-06,21;99,C_2_GSE62232,9793;332;7175;5347;3796;10615;6790;3832;4751;9493;7272;9212;22974;9055;24137;259266;79000;29127;28989;7756;55857
555,GO:0043933,macromolecular complex subunit organization,6.88e-06,219;2305,C_2_GSE62232,11078;85477;54443;57082;91687;7083;54919;10092;636;7175;1495;8996;51317;25939;23512;4077;3183;5286;192670;4478;2934;3915;3925;2058;3015;6281;5710;7203;3150;226;6599;4831;3654;302;8733;10051;9231;1786;7283;822;6241;1857;10095;4171;7450;23636;5585;10421;10919;4905;1278;3054;2764;5580;27338;11065;4017;2185;9869;2744;10300;8898;983;7088;2146;324;4023;9057;4320;4137;10036;6901;4199;6790;607;8936;10592;10626;24139;7186;5082;9829;8208;4602;1058;5888;1062;535;2258;1111;10499;641;7053;7349;3159;9735;9928;55320;5371;8284;8535;26013;1029;2491;871;11273;1063;8365;675;581;54145;10211;375;6597;3148;3308;24148;7468;2629;23075;11004;9212;6183;7404;8339;5893;253725;4763;3077;4193;4288;56950;6714;6843;23314;11339;5756;3013;891;9736;8334;9659;1616;23326;26586;51053;64780;29777;55355;79019;29028;64754;79682;80304;55166;54496;55839;57332;1894;64127;3070;55766;81930;56288;84079;2966;51176;2122;146909;10938;958;55245;1788;64105;91574;84708;28989;51199;81502;55677;92799;80146;29128;27161;57674;79172;29767;29091;84733;387103;26147;79885;5563;7756;81611;6904;23545;10093;64946;285590;90639;23338;55746;30844;11198;55719;64324;8353;80349;4087;84105;50511;10902;2932;9617;25862;989;5962;8861
556,GO:0051338,regulation of transferase activity,7.03e-06,100;894,C_2_GSE62232,3656;4085;1033;993;3326;8682;5710;3150;894;6464;3654;3315;1857;23636;5585;9961;5347;2065;2764;5580;27338;991;65125;11065;2185;983;2146;890;324;578;701;990;5984;1031;1164;1020;3984;7186;3627;4751;5576;5871;8851;9134;1062;2258;51196;995;5154;641;7349;6997;9928;5294;1029;4931;581;100133941;7070;2629;2810;9212;5058;22974;6788;9175;4763;57214;6714;898;5985;25778;891;4214;1616;1736;64754;79075;55704;50507;1894;64127;9966;81669;5683;958;57521;5208;150290;64793;56647;30837;128239;7329;1030;9852;286151;2932;23531;8861
557,GO:0044783,G1 DNA damage checkpoint,7.35e-06,17;70,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;79791;1820;144455
558,GO:0030261,chromosome condensation,8.54e-06,11;32,C_2_GSE62232,7153;10051;9918;983;10592;23397;891;51203;64151;54892;113130
559,GO:0033048,negative regulation of mitotic sister chromatid segregation,8.54e-06,11;32,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
560,GO:0072401,signal transduction involved in DNA integrity checkpoint,9.11e-06,16;64,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
561,GO:0072422,signal transduction involved in DNA damage checkpoint,9.11e-06,16;64,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
562,GO:1902807,negative regulation of cell cycle G1/S phase transition,1.03e-05,20;94,C_2_GSE62232,5111;983;2146;6790;51512;1869;995;5371;581;5591;6597;2810;835;4193;6659;891;79791;1820;144455;1030
563,GO:0072395,signal transduction involved in cell cycle checkpoint,1.13e-05,16;65,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;5591;2810;835;4193;6659;891;1820;144455
564,GO:0051129,negative regulation of cellular component organization,1.28e-05,69;566,C_2_GSE62232,11078;85477;4000;4085;7175;8996;6696;3183;2934;3925;302;1786;822;5347;2764;5580;10300;8898;324;22876;55558;701;10403;1020;24139;3627;4751;7272;899;8851;2258;1111;7349;3159;9928;1063;7070;3958;2629;9139;23075;4436;699;2191;8829;253725;4193;23433;6714;27342;5756;891;3192;26586;29028;55755;84079;51256;50807;29767;7756;10505;6904;85358;286151;9528;2932;5962;6405
565,GO:0065004,protein-DNA complex assembly,1.31e-05,32;197,C_2_GSE62232,57082;91687;4171;10036;8208;1058;5888;1062;55320;2491;1063;8365;54145;3148;8339;5893;11339;1616;55355;79019;64754;79682;55166;55839;3070;2966;64105;79172;387103;81611;64946;8353
566,GO:0051261,protein depolymerization,1.37e-05,19;88,C_2_GSE62232,11078;85477;2934;3925;822;10300;324;9829;2258;23075;11004;253725;5756;26586;64780;81930;146909;29767;5962
567,GO:0051310,metaphase plate congression,1.50e-05,13;46,C_2_GSE62232,10403;1062;9928;1063;11004;23212;891;55166;81930;55143;54908;113130;81610
568,GO:0033046,negative regulation of sister chromatid segregation,1.66e-05,11;34,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
569,GO:0051784,negative regulation of nuclear division,1.67e-05,14;53,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1111;1063;4436;699;891;7756;286151
570,GO:0006977,DNA damage response; signal transduction by p53 class mediator resulting in cell cycle arrest,1.73e-05,15;60,C_2_GSE62232,5111;983;6790;51512;1869;995;5371;581;2810;835;4193;6659;891;1820;144455
571,GO:0065009,regulation of molecular function,2.01e-05,249;2717,C_2_GSE62232,57082;11060;3656;261726;4085;55785;10055;1033;993;332;9266;636;23380;5635;3326;8996;89839;6742;9901;253959;5792;5476;2934;8682;6281;5710;3150;894;1476;5111;5510;1728;6464;4830;3654;302;3655;3315;1857;23636;5585;9961;5347;10421;2065;2764;5580;27338;991;65125;11065;2185;983;2146;890;26229;5469;324;9232;55558;578;701;54475;990;5984;6424;7169;6790;1031;1164;1020;51512;7188;3984;7186;5877;9824;3627;4751;5576;5871;1869;8851;3673;9134;1062;2258;51196;9546;995;29899;5154;6364;10499;641;2550;7349;7168;6690;6997;2774;9928;5294;27;5371;2281;1029;871;4931;7204;581;26255;100133941;334;10211;375;6597;3148;304;7070;2629;30851;2719;2810;4436;9212;5058;2760;835;6362;22974;8829;373;6788;9175;4763;3077;5914;4193;23236;6305;10486;10156;51588;116372;57214;6091;6714;9814;27342;898;23094;5985;5786;3267;7293;25778;891;4214;1616;1736;3192;8751;4650;3257;56882;64780;50650;54662;55355;64754;23462;64320;81831;79075;9462;55704;54496;57332;50507;1894;23630;64127;57506;64641;9966;81669;84079;51176;5683;29127;125058;958;55635;51726;81603;51256;7546;113130;50807;57181;29128;115908;57521;1122;135228;5208;55789;150290;389337;64793;56647;5924;144203;30837;11123;81611;6904;128239;54431;85358;2307;4301;130872;116988;163590;285590;57221;84464;170959;7329;64857;146923;64324;1030;9852;286151;23385;134266;4087;55917;55105;2932;2177;4043;23678;23531;5962;8861
572,GO:0045839,negative regulation of mitotic nuclear division,2.16e-05,12;41,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1111;1063;699;891;7756
573,GO:0007076,mitotic chromosome condensation,2.24e-05,7;14,C_2_GSE62232,10051;9918;10592;23397;51203;64151;113130
574,GO:0051985,negative regulation of chromosome segregation,2.26e-05,11;35,C_2_GSE62232,4085;7175;5347;324;701;10403;7272;1063;699;891;7756
575,GO:0006268,DNA unwinding involved in DNA replication,2.32e-05,6;10,C_2_GSE62232,7153;4175;4171;5888;3159;4173
576,GO:0006461,protein complex assembly,2.34e-05,136;1338,C_2_GSE62232,11078;85477;54443;57082;91687;7083;54919;10092;1495;8996;25939;4077;5286;4478;2934;3915;3925;2058;6281;5710;7203;226;4831;3654;302;8733;9231;7283;822;6241;10095;4171;7450;23636;4905;1278;3054;2764;5580;27338;11065;2185;2744;8898;983;7088;324;9057;4137;10036;6901;4199;607;8936;24139;7186;5082;8208;1058;5888;1062;535;2258;641;7053;3159;9735;9928;55320;5371;2491;1063;8365;581;54145;10211;375;6597;3148;3308;2629;8339;253725;3077;4193;6714;6843;11339;5756;891;9659;1616;51053;55355;79019;64754;79682;80304;55166;55839;1894;64127;56288;84079;2966;51176;10938;958;55245;64105;84708;51199;81502;92799;80146;57674;79172;29767;29091;387103;7756;81611;6904;23545;10093;64946;285590;90639;30844;55719;8353;4087;84105;2932;989;5962
577,GO:0070271,protein complex biogenesis,2.34e-05,136;1338,C_2_GSE62232,11078;85477;54443;57082;91687;7083;54919;10092;1495;8996;25939;4077;5286;4478;2934;3915;3925;2058;6281;5710;7203;226;4831;3654;302;8733;9231;7283;822;6241;10095;4171;7450;23636;4905;1278;3054;2764;5580;27338;11065;2185;2744;8898;983;7088;324;9057;4137;10036;6901;4199;607;8936;24139;7186;5082;8208;1058;5888;1062;535;2258;641;7053;3159;9735;9928;55320;5371;2491;1063;8365;581;54145;10211;375;6597;3148;3308;2629;8339;253725;3077;4193;6714;6843;11339;5756;891;9659;1616;51053;55355;79019;64754;79682;80304;55166;55839;1894;64127;56288;84079;2966;51176;10938;958;55245;64105;84708;51199;81502;92799;80146;57674;79172;29767;29091;387103;7756;81611;6904;23545;10093;64946;285590;90639;30844;55719;8353;4087;84105;2932;989;5962
578,GO:0051128,regulation of cellular component organization,2.50e-05,203;2151,C_2_GSE62232,11078;85477;54443;4000;4085;55785;57381;10055;10092;636;5911;7175;8996;6696;26164;3183;192670;4478;5792;2934;3925;6281;7203;226;4831;4830;5420;302;1786;822;10095;5347;2539;3054;2764;5580;991;11065;2185;7159;9869;10300;8898;2146;324;9820;22876;55558;578;701;9787;4137;990;6424;6790;1031;10403;8936;1020;3984;24139;3832;8317;3627;4751;9829;1012;4602;7272;899;10733;1869;8851;3673;1062;2258;51196;995;1690;6491;1111;5154;3782;7349;3159;7168;9735;9928;27;10154;5371;6498;7504;26013;2281;1029;11273;1063;11082;581;824;10211;375;6597;7070;3958;2629;9139;2719;2810;23075;4436;9212;5058;699;2191;8829;4240;253725;3077;4193;23236;4288;23433;57214;6091;6714;27342;5756;891;22994;1736;3679;3192;8751;6773;57446;220134;51203;56882;26586;10460;54662;55355;29028;22859;55704;55733;50507;53916;57506;55755;81930;84079;2966;51176;125058;10938;55245;51256;113130;55677;50807;150465;29128;1523;80821;29767;5205;29091;286053;221150;26147;64793;11128;7756;340719;10505;6904;85358;123264;10093;57464;53944;84464;30844;146923;55719;64324;286151;80349;9528;5467;2932;9617;23678;989;157922;5962;79363;8861;6405;11178
579,GO:0051494,negative regulation of cytoskeleton organization,2.61e-05,22;116,C_2_GSE62232,11078;85477;2934;3925;822;2764;5580;10300;324;24139;4751;899;2258;23075;253725;5756;26586;55755;29767;6904;85358;5962
580,GO:0022616,DNA strand elongation,3.00e-05,10;30,C_2_GSE62232,5558;5111;10535;5984;2237;5557;9837;84296;51659;64785
581,GO:0051303,establishment of chromosome localization,3.23e-05,15;63,C_2_GSE62232,10300;9787;10403;1062;9928;1063;11004;23212;891;55166;81930;55143;54908;113130;81610
582,GO:0050790,regulation of catalytic activity,3.39e-05,209;2236,C_2_GSE62232,57082;3656;261726;4085;55785;10055;1033;993;332;9266;636;23380;5635;3326;8996;89839;6742;9901;253959;5476;2934;8682;6281;5710;3150;894;1476;5111;5510;1728;6464;3654;302;3655;3315;1857;23636;5585;9961;5347;10421;2065;2764;5580;27338;991;65125;11065;2185;983;2146;890;26229;324;9232;55558;578;701;54475;990;5984;7169;1031;1164;1020;3984;7186;5877;9824;3627;4751;5576;5871;8851;3673;9134;1062;2258;51196;9546;995;29899;5154;6364;641;2550;7349;7168;6690;6997;2774;9928;5294;27;5371;2281;1029;871;4931;7204;581;26255;100133941;334;375;3148;304;7070;2629;30851;2719;2810;4436;9212;5058;2760;835;6362;22974;373;6788;9175;4763;4193;23236;6305;10486;10156;57214;6091;6714;9814;27342;898;23094;5985;5786;3267;25778;891;4214;1616;1736;3192;4650;3257;56882;64780;50650;54662;64754;79075;9462;55704;57332;50507;1894;64127;9966;81669;84079;51176;5683;29127;125058;958;55635;51726;51256;50807;57181;29128;57521;1122;135228;5208;55789;150290;389337;64793;56647;5924;144203;30837;11123;81611;6904;128239;54431;4301;130872;116988;163590;285590;57221;84464;7329;64857;146923;1030;9852;286151;23385;134266;55105;2932;23531;5962;8861
583,GO:0016925,protein sumoylation,3.72e-05,23;127,C_2_GSE62232,10055;332;7175;3183;5111;7153;23636;641;5371;8535;9212;5893;4193;51588;23279;8086;57332;55143;10762;84733;286053;7329;55746
584,GO:0050000,chromosome localization,3.94e-05,15;64,C_2_GSE62232,10300;9787;10403;1062;9928;1063;11004;23212;891;55166;81930;55143;54908;113130;81610
